LevelID,Status,Density,Quality,TimeMS
1,PERFECT,100%,,33
2,PERFECT,100%,,48
3,PERFECT,100%,,50
4,PERFECT,100%,,53
5,PERFECT,100%,,51
6,PERFECT,100%,,50
7,PERFECT,100%,,51
8,PERFECT,100%,,53
9,PERFECT,100%,,51
10,PERFECT,100%,,52
11,PERFECT,100%,,103
12,PERFECT,100%,,28
13,PERFECT,100%,,74
14,PERFECT,100%,,51
15,PERFECT,100%,,52
16,PERFECT,100%,,53
17,PERFECT,100%,,1107
18,PERFECT,100%,,51
19,PERFECT,100%,,52
20,PERFECT,100%,,52
21,PERFECT,100%,,101
22,PERFECT,100%,,56
23,PERFECT,100%,,159
24,PERFECT,100%,,121
25,PERFECT,100%,,53
26,PERFECT,100%,,102
27,PERFECT,100%,,50
28,PERFECT,100%,,51
29,PERFECT,100%,,50
30,PERFECT,100%,,50
31,PERFECT,100%,,65
32,PERFECT,100%,,103
33,PERFECT,100%,,85
34,PERFECT,100%,,102
35,PERFECT,100%,,51
36,PERFECT,100%,,51
37,PERFECT,100%,,52
38,PERFECT,100%,,49
39,PERFECT,100%,,104
40,PERFECT,100%,,104
41,PERFECT,100%,,52
42,PERFECT,100%,,51
43,PERFECT,100%,,103
44,PERFECT,100%,,102
45,PERFECT,100%,,51
46,PERFECT,100%,,50
47,PERFECT,100%,,310
48,PERFECT,100%,,52
49,PERFECT,100%,,51
50,PERFECT,100%,,102
51,PERFECT,100%,,103
52,PERFECT,100%,,209
53,PERFECT,100%,,101
54,PERFECT,100%,,105
55,PERFECT,100%,,104
56,PERFECT,100%,,1721
57,PERFECT,100%,,53
58,PERFECT,100%,,50
59,PERFECT,100%,,68
60,PERFECT,100%,,154
61,PERFECT,100%,,278
62,PERFECT,100%,,205
63,PERFECT,100%,,412
64,PERFECT,100%,,157
65,PERFECT,100%,,843
66,PERFECT,100%,,157
67,PERFECT,100%,,456
68,PERFECT,100%,,105
69,PERFECT,100%,,203
70,FALLBACK,86%,,1814
71,PERFECT,100%,,156
72,PERFECT,100%,,1391
73,PERFECT,100%,,419
74,PERFECT,100%,,157
75,PERFECT,100%,,153
76,PERFECT,100%,,274
77,PERFECT,100%,,208
78,PERFECT,100%, | QUALITY: LEN:ԴԱՐԱՇՐՋԱՆ(H),155
79,PERFECT,100%,,104
80,FALLBACK,69%,,5509
81,PERFECT,100%,,1970
82,PERFECT,100%,,482
83,PERFECT,100%,,222
84,PERFECT,100%,,313
85,PERFECT,100%,,366
86,FALLBACK,93%,,9040
87,PERFECT,100%,,1463
88,PERFECT,100%,,207
89,FAIL,0%,,7353
90,PERFECT,100%,,159
91,PERFECT,100%,,1092
92,FAIL,0%,,6782
93,PERFECT,100%,,2312
94,PERFECT,100%,,153
95,PERFECT,100%,,122
96,FALLBACK,67%,,34160
97,PERFECT,100%,,117
98,PERFECT,100%,,179
99,PERFECT,100%,,703
100,PERFECT,100%,,79
