LevelID,Status,Density,Quality,TimeMS
1,PERFECT,100%,,57
2,PERFECT,100%,,48
3,PERFECT,100%,,51
4,PERFECT,100%,,52
5,PERFECT,100%,,53
6,PERFECT,100%,,52
7,PERFECT,100%,,50
8,PERFECT,100%,,52
9,PERFECT,100%,,51
10,PERFECT,100%,,51
11,PERFECT,100%,,101
12,PERFECT,100%,,51
13,PERFECT,100%,,52
14,PERFECT,100%,,116
15,PERFECT,100%,,49
16,PERFECT,100%,,50
17,PERFECT,100%,,517
18,PERFECT,100%,,53
19,PERFECT,100%,,104
20,PERFECT,100%,,63
21,PERFECT,100%,,143
22,PERFECT,100%,,197
23,PERFECT,100%,,214
24,PERFECT,100%,,162
25,PERFECT,100%,,51
26,PERFECT,100%,,105
27,PERFECT,100%,,49
28,PERFECT,100%,,53
29,PERFECT,100%,,51
30,PERFECT,100%,,54
31,PERFECT,100%,,50
32,PERFECT,100%,,105
33,PERFECT,100%,,55
34,PERFECT,100%,,141
35,PERFECT,100%,,52
36,PERFECT,100%,,52
37,PERFECT,100%,,51
38,PERFECT,100%,,52
39,PERFECT,100%,,114
40,PERFECT,100%,,102
41,PERFECT,100%,,53
42,PERFECT,100%,,167
43,PERFECT,100%,,54
44,PERFECT,100%,,52
45,PERFECT,100%,,50
46,PERFECT,100%,,103
47,PERFECT,100%,,155
48,PERFECT,100%, | QUALITY: LEN:ՊԱՅԹՅՈՒՆ(H),53
49,PERFECT,100%,,49
50,PERFECT,100%,,102
51,PERFECT,100%,,103
52,PERFECT,100%,,225
53,PERFECT,100%,,104
54,PERFECT,100%,,51
55,PERFECT,100%,,106
56,PERFECT,100%,,107
57,PERFECT,100%,,51
58,PERFECT,100%,,169
59,PERFECT,100%,,56
60,PERFECT,100%,,160
61,PERFECT,100%,,201
62,PERFECT,100%,,361
63,PERFECT,100%,,844
64,PERFECT,100%,,101
65,PERFECT,100%,,549
66,PERFECT,100%,,154
67,PERFECT,100%,,1580
68,PERFECT,100%,,160
69,PERFECT,100%,,257
70,PERFECT,100%,,418
71,PERFECT,100%,,269
72,PERFECT,100%,,469
73,PERFECT,100%,,261
74,PERFECT,100%,,212
75,PERFECT,100%,,258
76,PERFECT,100%,,364
77,PERFECT,100%,,524
78,PERFECT,100%, | QUALITY: LEN:ԴԱՐԱՇՐՋԱՆ(H),219
79,PERFECT,100%,,106
80,PERFECT,100%,,258
81,PERFECT,100%,,1569
82,PERFECT,100%,,478
83,PERFECT,100%,,164
84,PERFECT,100%,,274
85,PERFECT,100%,,316
86,PERFECT,100%,,1079
87,PERFECT,100%,,1494
88,PERFECT,100%,,199
89,FAIL,0%,,9940
90,PERFECT,100%,,321
91,PERFECT,100%,,2307
92,FAIL,0%,,8900
93,PERFECT,100%,,2562
94,PERFECT,100%,,199
95,PERFECT,100%,,212
96,PERFECT,100%,,320
97,PERFECT,100%,,300
98,PERFECT,100%,,220
99,PERFECT,100%,,1636
100,PERFECT,100%,,110
