LevelID,Status,Density,Quality,TimeMS
1,PERFECT,100%,,37
2,PERFECT,100%,,103
3,PERFECT,100%,,216
4,PERFECT,100%,,154
5,PERFECT,100%,,49
6,PERFECT,100%,,52
7,PERFECT,100%,,155
8,PERFECT,100%,,106
9,PERFECT,100%,,101
10,PERFECT,100%,,100
11,PERFECT,100%, | QUALITY: DUPE:ВЫСОКО,105
12,PERFECT,100%,,102
13,PERFECT,100%, | QUALITY: DUPE:ТРАВА,211
14,PERFECT,100%,,213
15,PERFECT,100%,,105
16,PERFECT,100%,,257
17,PERFECT,100%,,49
18,PERFECT,100%, | QUALITY: DUPE:ПРОМОК,LEN:ТИНА(H),101
19,PERFECT,100%, | QUALITY: LEN:КРАТЕР(H),157
20,PERFECT,100%,,157
21,PERFECT,100%,,259
22,PERFECT,100%, | QUALITY: DUPE:ЛУЧ,363
23,PERFECT,100%, | QUALITY: LEN:СЕМЯ(H),158
24,PERFECT,100%,,153
25,PERFECT,100%, | QUALITY: LEN:КОВЕР(R),377
26,PERFECT,100%,,210
27,PERFECT,100%, | QUALITY: DUPE:ЛИСТ,261
28,PERFECT,100%,,375
29,PERFECT,100%,,2530
30,PERFECT,100%, | QUALITY: LEN:ГИТАРА(H),210
31,PERFECT,100%,,211
32,PERFECT,100%, | QUALITY: DUPE:ГРЯЗЬ,447
33,PERFECT,100%,,209
34,PERFECT,100%,,168
35,PERFECT,100%,,209
36,PERFECT,100%, | QUALITY: DUPE:УЮТ,231
37,PERFECT,100%,,220
38,PERFECT,100%,,207
39,PERFECT,100%, | QUALITY: DUPE:СОН,101
40,PERFECT,100%, | QUALITY: DUPE:ЧИСТО,212
41,PERFECT,100%, | QUALITY: DUPE:РОСТОК,325
42,PERFECT,100%,,210
43,PERFECT,100%, | QUALITY: DUPE:ТРАВА,103
44,PERFECT,100%,,212
45,PERFECT,100%,,367
46,PERFECT,100%,,412
47,PERFECT,100%, | QUALITY: DUPE:ХОЛОД,277
48,PERFECT,100%,,522
49,PERFECT,100%,,309
50,PERFECT,100%, | QUALITY: DUPE:ГЛОТОК,DUPE:ПОКОЙ,333
51,PERFECT,100%,,279
52,PERFECT,100%,,330
53,PERFECT,100%,,320
54,PERFECT,100%,,168
55,PERFECT,100%,,406
56,PERFECT,100%, | QUALITY: DUPE:ЯЩИК,342
57,PERFECT,100%,,2169
58,PERFECT,100%,,263
59,PERFECT,100%,,107
60,PERFECT,100%, | QUALITY: DUPE:ТИХО,60
61,PERFECT,100%,,52
62,PERFECT,100%,,120
63,PERFECT,100%,,88
64,PERFECT,100%,,102
65,PERFECT,100%,,113
66,PERFECT,100%,,214
67,PERFECT,100%, | QUALITY: DUPE:СТАЯ,216
68,PERFECT,100%,,124
69,PERFECT,100%,,439
70,PERFECT,100%,,953
71,PERFECT,100%,,108
72,PERFECT,100%, | QUALITY: DUPE:ПИК,55
73,PERFECT,100%,,202
74,PERFECT,100%,,112
75,PERFECT,100%,,106
76,PERFECT,100%, | QUALITY: DUPE:РОЩА,773
77,PERFECT,100%, | QUALITY: DUPE:СУХО,106
78,PERFECT,100%,,161
79,PERFECT,100%,,110
80,PERFECT,100%,,116
81,PERFECT,100%,,51
82,PERFECT,100%,,103
83,PERFECT,100%, | QUALITY: DUPE:КОЛЬЦО,52
84,PERFECT,100%,,61
85,PERFECT,100%, | QUALITY: DUPE:СЕРЫЙ,154
86,PERFECT,100%, | QUALITY: DUPE:ЛАМПА,118
87,PERFECT,100%, | QUALITY: DUPE:ПЛЫТЬ,DUPE:КАПЛЯ,DUPE:РУЧЕЙ,106
88,PERFECT,100%, | QUALITY: DUPE:ВЕРХ,112
89,PERFECT,100%, | QUALITY: DUPE:РОСТОК,DUPE:РАСТИ,103
90,PERFECT,100%, | QUALITY: DUPE:СВОБОДА,604
91,PERFECT,100%, | QUALITY: DUPE:МАЛО,DUPE:БАЗА,168
92,PERFECT,100%,,175
93,PERFECT,100%, | QUALITY: DUPE:ЖДАТЬ,DUPE:ТИШИНА,104
94,PERFECT,100%,,104
95,PERFECT,100%,,128
96,PERFECT,100%,,131
97,PERFECT,100%,,127
98,PERFECT,100%,,225
99,PERFECT,100%, | QUALITY: DUPE:СТОП,67
100,PERFECT,100%,,244
